MEMBERSHIP_ID,MEMBERSHIPTYPE_ID,DBL,MAILLANGUAGE_ID,STATUS,MEMBERSHIPSERVICECENTER_ID
26595,108,,2,Active,1
28792,108,,2,Active,1
50272,108,,2,Active,1
50899,108,,2,Active,1
51028,108,,2,Active,1
51495,108,,2,Active,1
184631,108,,2,Active,1
51464,108,,2,Active,1
51646,108,,2,Active,1
52036,108,,2,Active,1
42981,108,,2,Active,1
51975,108,,2,Active,1
206268,108,,2,Active,1
205684,108,,2,Active,1
184595,108,,2,Active,1
184596,108,,2,Active,1
184764,108,,2,Active,1
184913,108,,2,Active,1
191509,108,,2,Active,1
51351,108,,2,Active,1
51744,108,,2,Active,1
51844,108,,2,Active,1
195622,108,,2,Active,1
184788,108,,2,Active,1
184856,108,,2,Active,1
184937,108,,2,Active,1
50304,108,,2,Active,1
206208,108,,2,Active,1
50504,108,,2,Active,1
52108,108,,2,Active,1
191357,108,,2,Active,1
191921,108,,2,Active,1
191990,108,,2,Active,1
205452,108,,2,Active,1
206437,108,,2,Active,1
49994,108,,2,Active,1
187522,108,,2,Active,1
186892,108,,2,Active,1
187545,108,,2,Active,1
206786,108,,2,Active,1
191025,108,,2,Active,1
188432,108,,2,Active,1
201602,108,,2,Active,1
211634,108,,2,Active,1
211866,108,,2,Active,1
184919,108,,2,Active,1
191291,108,,2,Active,1
195805,108,,2,Active,1
188793,108,,2,Active,1
207009,108,,2,Active,1
187544,108,,2,Active,1
185551,108,,2,Active,1
208849,108,,2,Active,1
188890,108,,2,Active,1
189076,108,,2,Active,1
197007,108,,2,Active,1
208943,108,,2,Active,1
185202,108,,2,Active,1
197157,108,,2,Active,1
189345,108,,2,Active,1
190392,108,,2,Active,1
190556,108,,2,Active,1
213218,108,,2,Active,1
213255,108,,2,Active,1
197385,108,,2,Active,1
184407,108,,2,Active,1
184607,108,,2,Active,1
184621,108,,2,Active,1
185672,108,,2,Active,1
51229,108,,2,Active,1
51429,108,,2,Active,1
51598,108,,2,Active,1
52033,108,,2,Active,1
52065,108,,2,Active,1
211669,108,,2,Active,1
190166,108,,2,Active,1
184379,108,,2,Active,1
184530,108,,2,Active,1
202879,108,,2,Active,1
198061,108,,2,Active,1
201807,108,,2,Active,1
192899,108,,2,Active,1
213796,108,,2,Active,1
213463,108,,2,Active,1
193752,108,,2,Active,1
213257,108,,2,Active,1
213258,108,,2,Active,1
192877,108,,2,Active,1
193513,108,,2,Active,1
192610,108,,2,Active,1
192876,108,,2,Active,1
193178,108,,2,Active,1
213215,108,,2,Active,1
213251,108,,2,Active,1
193549,108,,2,Active,1
203951,108,,2,Active,1
203517,108,,2,Active,1
194211,108,,2,Active,1
194929,108,,2,Active,1
193881,108,,2,Active,1
214548,108,,2,Active,1
188878,108,,2,Active,1
188944,108,,2,Active,1
188886,108,,2,Active,1
189785,108,,2,Active,1
190487,108,,2,Active,1
189233,108,,2,Active,1
190375,108,,2,Active,1
197439,108,,2,Active,1
207811,108,,2,Active,1
211787,108,,2,Active,1
213223,108,,2,Active,1
213292,108,,2,Active,1
202209,108,,2,Active,1
202878,108,,2,Active,1
190263,108,,2,Active,1
213824,108,,2,Active,1
204928,108,,2,Active,1
203316,108,,2,Active,1
48956,108,,2,Active,1
203434,108,,2,Active,1
204227,108,,2,Active,1
